Time,rot_x,rot_y,rot_z,a_x,a_y,a_z,hpa,stat
000031.8319,-2050.,30.000,-15.00,-14.66,-41.37,19.375,,
000031.9154,,,,,,,1012.14,14.08
000031.9692,-2047.,33.000,-35.00,-13.66,3.6250,-41.62,,
000032.0526,,,,,,,1012.13,14.08
000032.1103,-2046.,27.000,-24.00,17.339,-12.37,-29.62,,
000032.1899,,,,,,,1012.12,14.08
000032.2437,-2048.,35.000,-28.00,2.3399,-16.37,33.375,,
000032.3272,,,,,,,1012.13,14.09
000032.3810,-2055.,38.000,-32.00,-6.660,-13.37,32.375,,
000032.4645,,,,,,,1012.15,14.09
000032.5183,-2047.,33.000,-32.00,5.3399,2.6250,-41.62,,
000032.6045,,,,,,,1012.14,14.09
000032.6585,-2048.,21.000,-17.00,-24.66,-37.37,-7.625,,
000032.7390,,,,,,,1012.13,14.09
000032.7929,-2045.,38.000,-40.00,7.3399,11.625,50.375,,
000032.8763,,,,,,,1012.16,14.10
000032.9301,-2048.,37.000,-38.00,13.339,-15.37,26.375,,
000033.0136,,,,,,,1012.12,14.10
000033.0674,-2054.,33.000,-23.00,-16.66,-2.375,-15.62,,
000033.1536,,,,,,,1012.13,14.08
000033.2750,-2051.,33.000,-25.00,9.3399,-18.37,31.375,,
000033.3286,,,,,,,1012.10,14.08
000033.3825,-2050.,41.000,-32.00,-24.66,-17.37,-2.625,,
000033.4659,,,,,,,1012.15,14.09
000033.5198,-2051.,35.000,-16.00,12.339,-10.37,-1.625,,
000033.6032,,,,,,,1012.14,14.09
000033.6571,-2042.,40.000,-29.00,11.339,-28.37,-24.62,,
000033.7432,,,,,,,1012.16,14.09
000033.8013,-2051.,58.000,-33.00,-9.660,-40.37,11.375,,
000033.8779,,,,,,,1012.15,14.09
000033.9317,-2047.,31.000,-31.00,2.3399,-26.37,1.3750,,
000034.0150,,,,,,,1012.14,14.10
000034.0689,-2048.,34.000,-23.00,16.339,-43.37,-5.625,,
000034.1523,,,,,,,1012.16,14.10
000034.2062,-2052.,40.000,-14.00,7.3399,-22.37,16.375,,
000034.3040,,,,,,,1012.13,14.09
000034.3437,-2055.,26.000,-17.00,9.3399,-29.37,-31.62,,
000034.4269,,,,,,,1012.15,14.10
000034.4807,-2048.,26.000,-16.00,-19.66,11.625,2.3750,,
000034.5642,,,,,,,1012.14,14.08
000034.6180,-2043.,35.000,-19.00,12.339,-9.375,36.375,,
000034.7014,,,,,,,1012.14,14.09
000034.7553,-2047.,41.000,-34.00,-10.66,-46.37,23.375,,
000034.8415,,,,,,,1012.13,14.10
000034.8926,-2052.,34.000,-30.00,-17.66,-17.37,-25.62,,
000034.9760,,,,,,,1012.11,14.10
000035.0298,-2048.,24.000,-30.00,-9.660,13.625,13.375,,
